수집시간,단지,구,동,거래유형,동번호,층,면적_계약,면적_전용,전용평,타입_m2,타입_평,보증금,월세,가격(억),제목,매물ID,매물URL
2026-06-15 07:40:30,헬리오시티,송파구,가락동,trade,310동,중,61.53,39.12,11.83,61B,18B,198000,0,19.8,18주인의뢰 전세안고 무주택자만매수 올확장 풀에어컨,49364376,https://www.zigbang.com/home/apt/items/49364376
2026-06-15 07:40:30,헬리오시티,송파구,가락동,trade,218동,중,110.17,84.95,25.7,110F,33F,304000,0,30.4,33계약가능매물 거실주방넓은타입 수납공간굿 올확장 풀에어컨,49352602,https://www.zigbang.com/home/apt/items/49352602
2026-06-15 07:40:30,헬리오시티,송파구,가락동,trade,109동,저,109.73,84.98,25.71,109E,33E,302000,0,30.2,33강추 삼면창거실넓은타입 정원뷰 올확장 풀에어컨,49352561,https://www.zigbang.com/home/apt/items/49352561
2026-06-15 07:40:30,헬리오시티,송파구,가락동,trade,404동,중,110.1,84.99,25.71,110D,33D,310000,0,31.0,33초역세권 주인의뢰 입주 실매물 남향 탁트인뷰 풀에어컨,49344299,https://www.zigbang.com/home/apt/items/49344299
2026-06-15 07:40:30,헬리오시티,송파구,가락동,charter,112동,저,110.1,84.99,25.71,110D,33D,130000,0,13.0,33귀한전세 아이들키우기좋아요 남향트인뷰 채광굿 올확장 ,49341351,https://www.zigbang.com/home/apt/items/49341351
2026-06-15 07:40:30,헬리오시티,송파구,가락동,trade,513동,중,140.26,110.66,33.47,140A,42A,345000,0,34.5,"42, 세안고 급매, 역세권 유일한 동 ,로얄동 로얄층",49323400,https://www.zigbang.com/home/apt/items/49323400
2026-06-15 07:40:30,헬리오시티,송파구,가락동,rental,218동,저,109.73,84.98,25.71,109E,33E,10000,470,1.0,"33, 남향, 해누리학군, 에어컨 풀",49320493,https://www.zigbang.com/home/apt/items/49320493
2026-06-15 07:40:30,헬리오시티,송파구,가락동,charter,312동,저,141.08,110.44,33.41,141B,43B,175000,0,17.5,"42, 해누리 학군, 풀에어컨, 커뮤니티 이용편리",49306447,https://www.zigbang.com/home/apt/items/49306447
2026-06-15 07:40:30,헬리오시티,송파구,가락동,charter,408동,중,61.37,39.1,11.83,61A,18A,80000,0,8.0,"18, 역세권 , 풀에어컨, 커뮤니티 이용편리",49303476,https://www.zigbang.com/home/apt/items/49303476
2026-06-15 07:40:30,헬리오시티,송파구,가락동,rental,109동,중,110.17,84.95,25.7,110F,33F,105000,100,10.5,"33, 해누리학군, 풀에어컨, 넓은 드레스룸과 주방인기",49302931,https://www.zigbang.com/home/apt/items/49302931
2026-06-15 07:40:30,헬리오시티,송파구,가락동,rental,406동,저,108.01,84.98,25.71,108K,33K,30000,400,3.0,"33, 초역세권, 풀에어컨 , 컨디션 최상, 상가이용편리",49302815,https://www.zigbang.com/home/apt/items/49302815
